case,kind,payoff,strikeBps,replications,ordinaryMean,pairedMean,ordinaryVariance,pairedVariance,varianceRatio,varianceRatioCI95,ordinaryGas,pairedGas,varianceTimesGasGain,ordinaryReportedSeRms,pairedReportedSeRms,ordinarySpreadOverReported,pairedSpreadOverReported,pairedMinusOrdinaryMean,differenceSe,meanDifferenceZ,ordinaryZeroSeCount,pairedZeroSeCount,sourceSha256
SNDK,recorded feed,put,10200,256,42.534809914879695,42.182684350174725,13.847113882233048,2.1268824000032502,6.5105216358985745,"[5.1726677559833565, 8.32473405052211]",38234948,26808392,9.285504934479357,3.4758784302965986,1.4957171321622484,1.0705699612442057,0.9750396363744054,-0.3521255647049726,0.22853226085054087,-1.540813377483108,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
SPY,recorded feed,call,9800,256,15.233573152845103,15.244995329119241,0.1862574576826176,0.0010028254387402632,185.73268136934368,"[121.90441812447092, 303.91537128317776]",36324645,24900409,270.9463011486889,0.4098643332318066,0.03160357508705851,1.052971721863192,1.0020201547452638,0.01142217627413726,0.026872647658236472,0.4250484142613451,0,0,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
SPY,recorded feed,call,10000,256,1.7472727495816953,1.7412638819822595,0.06527092858558337,0.038096703948784276,1.7132959500467824,"[1.335430915747538, 2.1646663799796024]",36324645,24900409,2.4993512020379707,0.2493482438928418,0.19633914753645826,1.0245981838278972,0.9941153974380986,-0.006008867599435931,0.015956022223840648,-0.3765893225228652,0,0,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
SPY,recorded feed,call,10200,256,0.014567554362736441,0.016160238649166533,0.0008749424847545759,0.0009834937787941702,0.889626862538281,"[0.5956452157831241, 1.251622356589958]",36324645,24900409,1.297785107231245,0.028411801858916785,0.03144020925905529,1.0410964732654164,0.9974712354798271,0.0015926842864300932,0.001708117588148867,0.9324207522247506,157,152,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
SPY,recorded feed,put,9800,256,0.01799871144248541,0.014320965151551329,0.0024233600599605954,0.0008059259782045515,3.0069263499352346,"[0.7917549263918132, 7.9723627674742366]",36324645,24900409,4.3864955070634855,0.04870854557193545,0.028592671546390974,1.0106570530195025,0.9928710370380573,-0.0036777462909340797,0.0032032156340424138,-1.1481419645460504,153,160,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
SPY,recorded feed,put,10000,256,1.7627141819790766,1.741605391814569,0.07197862438660489,0.03679986073323194,1.9559482822065395,"[1.5178550029070985, 2.5612307381948494]",36324645,24900409,2.8533317259773674,0.25378135137463453,0.19311010163099362,1.0571632698233326,0.9933861373530031,-0.021108790164507337,0.016304046207780594,-1.2946964143436879,0,0,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
SPY,recorded feed,put,10200,256,15.261024860560116,15.247517622281476,0.19086107569571173,0.0008057776717582215,236.86567943642495,"[152.18374840026638, 391.32034111744673]",36324645,24900409,345.5389715972913,0.41273106689945516,0.02873915938151611,1.0585016113397525,0.9877193308653722,-0.013507238278641323,0.027410964118888284,-0.49276771951752646,0,0,55be4e34f1528ad02b420a506948dd40a33f45a4f97aeaf9994c3ae199b40244
TSLA,recorded feed,call,9800,256,7.433542201026822,7.447419617497989,0.18783555305108116,0.008690716818409175,21.613355604131193,"[16.331610928248605, 28.76636296840889]",37324023,25899608,31.14708846851163,0.40711289891784774,0.09431640727053472,1.0645695411156864,0.9884177829734644,0.013877416471167525,0.02689488551538435,0.5159871925548595,0,0,d6ffd8194379db8eab8d90862b4a87a568cffd647466a25360834d0d85ca1594
TSLA,recorded feed,call,10000,256,1.8957984725661277,1.8911740016108738,0.0723403120823185,0.04128139785782591,1.752370700514072,"[1.353626253566542, 2.296647197327723]",37324023,25899608,2.5253480411948064,0.2643065802460078,0.2035893093162114,1.017611985377865,0.9979808973166364,-0.004624470955253646,0.01717984302044138,-0.26918004720713884,0,0,d6ffd8194379db8eab8d90862b4a87a568cffd647466a25360834d0d85ca1594
TSLA,recorded feed,call,10200,256,0.1922926349593561,0.18804593249801618,0.009212071687186135,0.008464656578428166,1.0882983381349134,"[0.8325355359822297, 1.4283759693177522]",37324023,25899608,1.568350849302788,0.09522125500072157,0.09372560353124827,1.0079633780921593,0.9816268428844953,-0.004246702461339924,0.0061813277466494405,-0.6870210795151299,0,0,d6ffd8194379db8eab8d90862b4a87a568cffd647466a25360834d0d85ca1594
